City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
92,Airai,TL,-8.93,125.41,57.42,100,38,3.76,scattered clouds,0.0,0
93,Lobatse,BW,-25.22,25.67,60.8,38,0,11.41,clear sky,0.0,0
94,Manono,CD,-7.3,27.42,75.87,54,13,6.17,few clouds,0.0,0
95,Torbay,CA,47.67,-52.73,59.0,71,90,8.05,overcast clouds,0.0,0
96,Arklow,IE,52.79,-6.14,55.99,83,14,5.35,few clouds,0.0,0
97,Barroquinha,BR,-3.02,-41.14,82.51,71,67,7.58,broken clouds,0.0,0
98,Petrozavodsk,RU,61.78,34.35,60.8,51,51,2.24,broken clouds,0.0,0
99,Port-Gentil,GA,-0.72,8.78,77.0,78,90,14.07,overcast clouds,0.0,0
100,Avarua,CK,-21.21,-159.78,75.2,83,21,3.36,few clouds,0.0,0
101,Deputatskiy,RU,69.3,139.9,56.35,67,13,2.33,few clouds,0.0,0
102,Manokwari,ID,-0.87,134.08,78.71,67,2,4.41,clear sky,0.0,0
103,Ahipara,NZ,-35.17,173.17,50.94,85,24,3.06,few clouds,0.0,0
104,Chokurdakh,RU,70.63,147.92,48.6,64,0,10.29,clear sky,0.0,0
105,Berlevag,NO,70.86,29.09,46.4,93,75,5.82,broken clouds,0.0,0
106,Golden,US,39.76,-105.22,99.0,10,5,5.82,clear sky,0.0,0
107,Butaritari,KI,3.07,172.79,83.1,75,100,11.39,moderate rain,2.43,0
108,Coquimbo,CL,-29.95,-71.34,59.0,72,39,16.11,scattered clouds,0.0,0
109,Padang,ID,-0.95,100.35,77.54,81,70,5.3,light rain,0.33,0
110,Atuona,PF,-9.8,-139.03,79.57,79,96,18.97,light rain,0.12,0
111,Nieuw Amsterdam,SR,5.88,-55.08,86.0,70,40,8.05,shower rain,0.0,0
112,Grindavik,IS,63.84,-22.43,50.0,76,90,10.29,overcast clouds,0.0,0
113,Carnarvon,AU,-24.87,113.63,53.6,54,0,9.17,clear sky,0.0,0
114,Chitose,JP,42.82,141.65,69.01,100,90,8.05,fog,0.0,0
115,Hithadhoo,MV,-0.6,73.08,83.62,75,97,9.22,overcast clouds,0.0,0
116,Sitka,US,57.05,-135.33,55.4,87,90,3.36,light rain,0.25,0
117,Savalou,BJ,7.93,1.98,74.01,92,100,4.38,overcast clouds,0.0,0
118,Coruripe,BR,-10.13,-36.18,75.92,81,30,9.84,scattered clouds,0.0,0
119,Dudinka,RU,69.41,86.18,53.6,81,0,15.66,clear sky,0.0,0
120,Grenaa,DK,56.42,10.88,57.2,76,95,13.87,overcast clouds,0.0,0
121,Coihaique,CL,-45.58,-72.07,39.2,64,75,4.7,broken clouds,0.0,0
122,Ponta Do Sol,PT,32.67,-17.1,72.0,71,3,5.32,clear sky,0.0,0
123,Vanderhoof,CA,54.02,-124.02,68.25,41,100,3.42,overcast clouds,0.0,0
124,Vestmanna,FO,62.16,-7.17,50.0,57,70,13.87,broken clouds,0.0,0
125,Alice Springs,AU,-23.7,133.88,46.4,49,100,4.7,overcast clouds,0.0,0
